Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
Lithuania,2020-04-21 14:30:32,551.694,238.813,1350,37,298,1015,4.959.058.381.341.300,,,2.740.740.740.740.740,440,LTU
Luxembourg,2020-04-21 14:30:32,498.153,6.1296,3558,75,637,2846,5.683.923.984.306.100,,,21.079.258.010.118.000,442,LUX
MS Zaandam,2020-04-21 14:30:32,,,9,2,0,7,,,,2.222.222.222.222.220,8888,
Madagascar,2020-04-21 14:30:32,-18.766.947,46.869.107,121,0,44,77,43.696.477.908.595.500,,,0.0,450,MDG
Malawi,2020-04-21 14:30:32,-13.254.307.999.999.900,34.301.525,18,2,3,13,9.409.326.890.732.360,,,1.111.111.111.111.110,454,MWI
Malaysia,2020-04-21 14:30:32,4.210.483.999.999.990,101.975.766,5482,92,3349,2041,16.937.528.081.167.100,,,1.678.219.627.873.030,458,MYS
Maldives,2020-04-21 14:30:32,3.2028,732.207,83,0,16,67,15.354.958.541.611.900,,,0.0,462,MDV
Mali,2020-04-21 14:30:32,17.570.692,-3.996.166.000.000.000,258,14,57,187,1.274.021.603.258.410,,,5.426.356.589.147.280,466,MLI
Malta,2020-04-21 14:30:32,359.375,143.754,443,3,150,290,10.033.088.809.822.000,,,6.772.009.029.345.370,470,MLT
Mauritania,2020-04-21 14:30:32,210.079,-109.408,7,1,6,0,15.054.864.226.631.600,,,14.285.714.285.714.200,478,MRT
Mauritius,2020-04-21 14:30:32,-20.348.404,57.552.152,328,9,224,95,2.579.088.779.627.080,,,27.439.024.390.243.900,480,MUS
Mexico,2020-04-21 14:30:32,236.345,-1.025.528,8772,712,2627,5433,6.803.546.651.951.190,,,8.116.735.066.119.470,484,MEX
Moldova,2020-04-21 14:30:32,474.116,283.699,2614,72,505,2037,6.479.980.108.890.430,,,2.754.399.387.911.240,498,MDA
Monaco,2020-04-21 14:30:32,437.333,7.4167,94,3,23,68,2.395.270.614.616.240,,,31.914.893.617.021.200,492,MCO
Mongolia,2020-04-21 14:30:32,468.625,1.038.467,34,0,8,26,1.037.125.429.949.490,,,0.0,496,MNG
